apresiasi,kritik,ulasan
1,0,aplikasi yang informatif khusus website simantan kita bisa tahu jadwal dan lokasi para tugas pelihara taman dalam hari
0,1,percuma lapor adu masalah belum selesai tidak ada solusi tiba sesi tanggap sudah gaji anda dari uang rakyat sudah wajib layan masyarakat dengan tulus bukan cuma kerja absen pulang terima gaji
1,0,mantap cukup bantu informasi
1,1,lebih maksimal lagi servernya kadang kadang suka lot so par so good
0,1,telah update baru ada bug nya telah pilih opd tombol lanjut hilang padahal belum update bs mungkin bs baik lagi thx
1,0,sangat bagus sangat bantu mudah kn dapat kn layan perintah
0,1,kenapa aplikasi sering alami ganggu ya saya sudah coba kali untuk bisa daftar esppt pbb di jaki dengan ikut langkah dan isi datadengan baikdan benar tetapi selalu yang keluar seperti maaf jadi salah sila coba beberapa saat lagi data tidak temu nik unduh jadi salah bagaimana solusi ya sudah 2 hari saya coba kali masuk data dengan benar tetapi selalu ada masalah mohon bantu ya dan segera ya
0,1,lagi daftar kenapa keluar sendiri mulu ko malah jadi ribet tolong baik kualitas dan layan onlinenya
0,1,ini sangat parah sudah daftar pol umum tangal kenapa merah semua tolong di baik aplikasi nya bukan nya mudah malah sulit untuk daftar
0,1,ini aplikasi yaalloh mau datar juga susah terus kata biar praktis dan mudah tapi nyata sulit
1,0,sangat bantu untuk giat rw terima kasih untuk layan sapawarga moga depan lebik baik dan lebih mudah untuk akses semua program
0,1,udh ngisi data pada tgl 6terus loading sekitar tengah jam tiba tiba kembali ke menu utama malah bisa ngisi data lagi pada tanggal 13 sedang pesawat saya terbang tanggal 9 ini mohon info sampai jakarta apakah tidak apa apa tanpa jaki ini
0,1,percuma aplikasi bagus tapi masalah di lapang ga pernah realisasi
0,1,untuk zaman sekarang agt22 msh terlalu jadul kalo hanya untuk rw saja mah knapa tidak umum sj supaya bisa akses lbih bnyk org sya agak kecewa karna yg di daerah bantul ajh udh bisa di dw orang bkn rw sj atuh prcuma klo msh hrus nyusahin org lain mah dmn efisiensi nya klo gitu depan untuk pikir kembali karena ini tdk signifikan mudah masyarakat yg ada nnti disalahgunakan sm oknum tentu
0,1,kenapa ya di hp infinik saya ga bisa di pake apk nya ada yg sama jika iyah ada solusi agar bisa di pakai apkny
0,1,saya mau vaksin yang ke 3 tp jadi salah trs harus log in padahal nik ktp sudah verifikasi cek status vaksin juga ga bisa buka udah brp x d uninstall dulu trs d install lagi tp ttp ga bisa d buka aneh ini aplikasi bukan nya bantu malah sulit
1,1,sapawarga satu update info usul giat lingkung sosial dll mantap tp tolong servernya biar lebih quick respon soal kalo input suka loading dan kembali beranda atau error
0,1,terlalu banyak iklan nya jadi bikin bt lagi juga registrasi lama bikin bete juga kurang sempurna saya kasih bintang tengah aja mohan d tingkat lagi
1,0,barakallah sangat bantu sekali tanpa harus antri tunggu lama dan gratis lalu aplikasi buat akte lebih mudah dan praktis tanpa pake ribet trimakasih perintah kota bandung khusus disdukcapil kota bandung moga terus inovasi untuk mudah warga kota bandung haturnuhun
1,1,betul banyak info yang bagus di aplikasi ini tp tiap mau daftar vaksin kuota selalu penuh tiap jam di cobain terus tetep kuota penuh terus ga tega kasih bintang satu jadi bintang 4 aja dengan harap ada ubah dan kembang dalam aplikasi ini terimakasih banyak
0,1,gmna mau kasih bintang 5 sedang server down trus tolong cepat baik saat ada jobfair seperti ini malah app down kami ini sangat sangat butuh kerja tolong jangan di sulit
0,1,mending ngantri kaya dlu dari pada error aplikasi kata simpel ko tamabah ribet
1,0,aplikasi yang bagus mantab good job
0,1,kata smart sevice tapi bagi cctv ga bisa di akses
0,1,di app store ga ada ya jd yg pake iphone ga bisa download
0,1,terus tingkat ya aplikasi biar semua data rw terinput dan tambhkan item untuk komunikasi nya agar para rw bisa saling koordinasi baik camat maupun antar kabupaten
0,1,saya nyoba apk ini buat nyoba daftar vaksin ke 2 pas login daftar la kok kata nama yang masuk ngga sesuai sama nik yang daftar la mksudnya apa orang itu udah sesuai bgt ibu kali saya liat takut ada angka yang salah tapi ngga tuh trs gimana ini mksudnya ya min
0,1,dari beberapa hari yang lalu daftar di akun jss tapi tidak bisa masuk padahal dari lurah arah untuk pakai jss terang selalu nama tidak cocok dengan data duduk terus harus bagaimana kalau seperti ini nama bukan smart service susah terus tugas ngapain mending cara jadul hari jadi
1,0,praktis banget sih kerja lumayan cepet 2-3 hari udah beres asal dokumen yg di upload lengkap ga perlu ribet kesana kesini
1,1,saya melakuakan aju pindah antar provinsi lalu aplikasi ini aplikasi nya mudah di guna cuman saja memang surat pindah nya yg masih makan waktu mungkin karena verifikasi nya juga yg makan waktu
0,1,kira aplikasi yg buat bisa warga nya yg hubung langsung tau untuk giat rw aja sangat sayang padahal warga biasa jg ingin tau yg buka apalagi rt dan rw nya yg kurang aktif dlm sampai berita atau selalu miskomunikasi
0,1,baik nya peta sebar derita covid-19 lebih detail lagi agar masyarakat bisa antisipasi utk kurang aktivitas di daerah sebut
0,1,info covid nya kurang update kena peta sebar dan jumlah pdp
1,0,selalu tingkat layan ke masyarakat dgn cara yang lebih simple dan mudah mtr nwn
0,1,kenapa jaki tidak bisa scan barcode tiap scan selalu keluar tiba dari app jaki admin harus baik salah ini thanks
0,1,tiap saat minta baru
0,1,kenapaa sering forced close ya tolong di maksimal kan kembang apk nya biar mudah daftar nya
0,1,sy br mengupload aplikasi ini krn minta oleh pihak sekolah anak pd saat tahu tentang salah satu program yakni jakclm sy coba namun sangat kecewa krn pd saat sy klik utk jenis kelamin alamat rt rw semua tdk bisa di klik bagaimana kesiap aplikasi ini ya mohon baik
1,0,bagus
0,1,saya ketua rt barusan saya mau masuk ke aplikasi sapawarga tidak gampang tiap saya login selalu server tidak merespon tolong bantu nya kepada yang sangkut agar saya dapat aju warga warga yg kena dampak covid 19 terima kasih
0,1,ini sangat tidak evektif sekali bahkan buat masarakatnya bolak balik sistem terlalu riber saya pikir bisa mangkas waktu dan mudah semua urus yg sangkut dengan data diri nyata tidak bantu sama sekali
0,1,maaf kami beri bintang 3 karena servernya sering error tidak merespon
0,1,sangat sayang akun atau e-mail nik yang sudah daftar ktika kluar dan ingin coba masuk lagi ke aplikasi ini sangat sulit trims mohon timbang bantuanya
0,1,gajelas aplikasi tampil awal doang bagus gilir mau konfirmasi ga bisa di klik benerin dulu baru di publis deh
0,1,mau buat lapor kok gagal terus
0,1,mohon di respons ya kenapa saya tidak bisa pilih tanggal untuk daftar puskesmas ya berkali2 di coba kuota aman jaring internet juga aman apa kendala hp saya samsung j6 bisa bantu jelas kenapa saya tidak bisa klik tanggal untuk daftar di puskesmas yg saya ingin selalu trouble saat klik tabel kalender tsb untuk puskesmas pancoran mas rangkap jaya
0,1,akun saya tidak dapat login di buka kembali nomor telp yang ada di aplikasi tidak dapat di hubung nomor admin sapa warga yang mana yang bisa hubung untuk minta password saya kembali
1,0,baik siih benar2 dalam genggam ga ribet sama sekali proses cepat ga nyesel poko pake aplikasi ini yu pada download jugaaa untuk wargi bandung
0,1,masa tiap daftar di tgl yg kosong selalu gagal dan tulis penuh padahal di kolom jadwal status kosong masih perlu baik lebih lanjut
1,0,pokoknyo mantab
0,1,2 kali turut lapor yg saya buat s tutup oleh pihak jaki belum problem selesai kecewa banget tidak recommended
0,1,aplikasi belum siap cara server tapi dipakasaakan akhir lag macet saran aja kalo ada event misal jobfair mending alih ke web lebih dahulu atau buka jauh2 hari daftar
0,1,gila parah bgt daftar buat ngurus ubah data aja lama bgt dah coba sampek kali kali tetep aja gak bisa padahal udah pake wifi sampe 2hari parah bgt sampek dateng ke balkot juga ttep gak bsa harus pake jss astagaa gak kelar2 urus
1,0,aplikasi sapawarga ini sangat bagus dan bermangfaat bagi seluruh para ketua rw sejawa barat dan sangat bantu bagi saya bagai ketua rw banyak dapat informasi yang sangat guna
0,1,mohon maaf developer adminnya kenapa di aplikasi tnglive kok layan kartu kuning gak bisa di buka pas buka kok ada notifikasi error pleaselah saya mau daftar kartu kuning biar nanti langsung ambiil gak bolak balik please di fixin buru kata buat mudah kok ini sulit terima kasih moga di baca dan cepet di fix sama developer adminnya
0,1,mau daftar e-sppt pbb tetapi selalu muncul terang data nik tidak temu itu kenapa ya ada yang bisa bantu sudah coba via web dan aplikasi jaki tetap tidak bisa
1,0,aplikasi yang sangat juara dan bisa kembang dokumentasi masyarakat dengan mudah
0,1,sapawarga nyata bukan aplikasi untuk sampai suara warga lain kali buat aplikasi tempat keluh kesah warga karna banyak rt rw yg kerja nya tidak transparan apa apa segala uang dapat uang bansos pun harus di potong klau ngga potong yg dapet nya itu2 aja orang2 dekat nya saja
0,1,hallo saya mau masuk lihat jadwal vaksin kembali tapi tidak bisa buka terang server sedang masalah apakah saya haris tunggu lama untuk bisa buka kembali karna ada syarat yang harus foto copy untuk bisa datang vaksin besok sedang aplikasi tidak bisa masuk mohon bantu yaa
0,1,layan nya sangat kecewa mau ngurus online atau datang langsung sangat kurang baik saya sangat kecewa dengan layan semua layan di sulit
0,1,mau download e spppt pbb knp tidak bisa
1,1,aplikasi yang benar bagus dan manfaat sayang tidak ada pandu untuk guna baru pernah saya buat adu lewat aplikasi jss dan baru pertama kali buat adu telah hari saya tunggu tunggu kok adu saya tidak tampil ke publik nyata adu saya rahasia mohon untuk semua adu itu tampil ke publik tidak ada opsi rahasia saya percaya mang mang di kota yogyakarta ini orang orang yg bijaksana jadi transparan aja tidak perlu rahasia
1,0,manfaat buat warga surabaya utk keluh dan beri saran
0,1,banyak bug sering error padahal jaring bagus ini gimana sih harus mudah masyarakat untuk akses fasilitas misal layan sehat malah jadi tambah sulit karena sering error apk ini tolong dong baik agar masyarakat lebih nyaman guna
0,1,saya sudah verifikasi saat klik menu muncul perintah login padahal saya sudah login saat klik ya di balik ke menu profil sana sudah login dan verifikasi balik lagi ke home dan pilih beberapa menu salah satu menu jobfair pas klik muncul lagi perintah login padahal sudah login coba menu lain seperti weather nyata lot bgt mungkin karena mau ada jobfair jd banyak yg akses saran buat tim it mohon di update lagi jaring nd servernya agar lebh efisien
0,1,maaf ini saat daftar simpan data ko gagal terus yaa time out
0,1,gimana sih ini udah binggung makin binggung untuk di sibenar malah mentok di masuk no kk kepala keluarga sama password error error terus gimana ini tolong di baik jadi lebih praktis lagi
1,0,dengan ada aplikasi warga saya bantu dan masalah direspon
0,1,system baik terus mau daftar vaksin tidak bisa
0,1,applikasi ga ada guna mana hak bagai warga surabaya malah di bikin ribet
0,1,ini aplikasi sering bgt force close sendiri telah daftar jg tidak ada record di akun bahwasanya daftar
0,1,tiap mau daftar pukesmas webnya ga bisa terus coba subuh pagi siang tuju ada daftar online untuk mudah antri tapi tidak bantu sama skli daftar online ini krna ga bisa masuk web terus tolong baharu webnya biar cepat respon daftar
0,1,di update pajak motor malah g bisa ini min mw cek baiaya pajak motor tp cek biaya pbb bisa motor yg g bisa trmksih
1,1,lumayan tapi live cctv simp bi kok ga fungsi juga tempat yang sangat krusial lain seperti simp jelutung simp bata depan wtc arah ancol simp kawat simp rimbo dan tempat penting lain kok tidak ada tolong perhati
1,0,kami lebih cepat dapat informasi dan mengupdate warga lebih cepat dalam hal bantu masa covid
1,1,aplikasi sudah baik namun lebih baik lagi apabila aju lalu verpal langsung tuju karena itu yg benar jadi lapang masih banyak warga dampak covid yg belum terima bantu satu dari perintah tolong di perhati dan laksana masuk sebut karena percuma ada validasi apabila akhir tidak ada yg tuju satu ulah nyampekeun cape gawe teu kapake tungtungna urus nu katempuhan nuhun
1,0,baru kali ini aplikasi yg paling percaya cepat tanggap salut buat pak anis lucu ada web tetangga jakarta fiturnya kuno banget masa yg kasih data excel hahaaa padahal kepala negara kerja sana sekarang hayo kota apakah itu
1,0,sangat sangat bantu dan lebih cepat dapat info se jabar
0,1,telah baharu aplikasi malah tdk bisa buka mohon segera baik
0,1,kenapa kalo sudah buat lapor kok hanya muat data loading aja kok ga ada menu tampil ke lapor yang sudah di buat
1,0,mantap dan manfaat
1,0,aplikasi bisa bantu selalu layan mudah layananan terimakasih tlv live
0,1,tolong fungsi e-sppt diupgade bukan hanya tampil nominal tapi juga bisa download e-sppt nya apa beda dgn app e-pbb kota depok
0,1,terang nya akte jadi 7 minggu tapi ini sudah daftar dari 11 desember 2019 sampai saat ini 4 januari 2020 belum jadi2 juga dengan terang masih proses sama seperti waktu daftar hadeeeh gimana sih tidak sesuai dengan terang 7 hari
1,0,sangat bantu khusus warga surabaya
1,0,semga depan jambi makin keren dan smga gak ada korup
0,1,aplikasi nya gak up-to-date jelek untuk vaksin aja gak lengkap puskesmas nya
0,1,sore min saya mau komplain ketika saya buka aplikasi depok single window itu koq bawa keluar mulu soal saya mau daftar brobat trs tolong dibetulin lg aplikasi agar lebih bagus
0,1,ga ada jelas dri bulan agustus daftar butuh bantu sapai saat ini masih dalam prosea klw memang ga bisa knapa harus nunggu lama banget kan bisa langsung di tolak kasi kami harus nunggu yg ga pasti
1,0,hai jaki saya lihat di aplikasi jaki ada fitur cek pajak kendara motor pkb itu bagus benar tapi kok bisa bebas akses data pkb siapa sih asal kita tahu nopol nya begini di situs samsat-pkb2 jakarta go id saja kalau mau cek harus input nik dahulu tapi di jaki tidak pakai nik sehingga siapa bisa lihat info pkb kita apa itu tidak apa ya
0,1,ini gmn daftar gan ko saya malah nyuruh hubungin no wa tapi g ada yg aktip
1,0,lebih simpel pake aplikasi ini knp harus di buka lagi tuh lapor tatap muka di balai kota praktis dan simpel lapor bisa cepat di tanggap
1,1,aplikasi yg keren mudah depan bisa upload video di giat rw
0,1,sudah saya baru dan bisa buka cuma website dukcapilnya belum lengkap fitur searching nya belum ada dan syarat untuk buat akta lahir belum ada atau saya tidak temu
0,1,aplikasi kurang komplit usul kalo bisa semua giat verifikasi data harus libat sapa warga baik yg sifat pendataaan duduk maupun sensus dan yg lain nya karena yng data langsung adalah ketua rt rw jadi lebih valid dan akurat data gak asal tembak terima kasih
1,0,aplikasi nya sangat bantu
0,1,kenapa ya mau daftar pol gigi di puskesmas cimanggis selalu tidak bisa mau tanggal brp pun jg tetep gabisa baca maaf tgl yg anda pilih sudah penuh selalu begitu mohon jawab ya itu kenapa
0,1,dpt info utk bansos bisa dwnld app ini uda regis verif ktp foto malah sama staf ny alamatny salah masuk ke tangerang bukan tangsel di kontak ke staf ny malah di tolak tidak layak terima bantu krn bukan areany kan bukan salah di saya tidak ada solusi yg beri
0,1,tolong dong server yah di baik saya mau daftar ko selalu gak bisa padahal nik dan email saya sudah benar dan koneksi jaring saya sudah bagus tapi kenapa selalu eror
1,1,terima kasih sapawarga saya bagai ketua rw desa cisaga sangat bantu atas aplikasi ini cepat birokrasi langsung ke provinsi namun harus selalu di update ke depan bisa gak aplikasi ini di tambah kan fitur untuk warga bagai usul dtks yang baru terima kasih
0,1,udah ngisi nik tapi nik tidak deteksi nik surabaya nyata lupa kalo saya warga negara kongo selatan
0,1,jadi bug saat geser layar ke bawah tiba tiba kembali lagi ke atas mohon baik
0,1,terlalu bnyak aplikasi daerah kenapa gk all in one aja langsung dri pusat udh nyaman pke sambara eh ada sapawarga mungkin nnti perintah baru bkin aplikasi lagi trus aja gtu bkin aplikasi gk murah loh
0,1,tolong tingkat lgi karna ga bisa upload berkas bagus sii bagus tpi tolong baik lgi di update trus gilir jobfair ajhh lama bgt sampe bulan nunggunya gmna si ini parah
1,1,bagus hanya saja bagus yg buat lapor anonim aja utk jamin rahasia demi aman si lapor
0,1,aplikasi tidak guna banyak bug saya pilih tanggal 11 tetapi yang daftar tanggal 4 gara gara aplikasi ini saya marah orangtua saya habis habis
0,1,buat akte lahir dan kk sayang telah jadi tidak dapat unduh
0,1,aneh tiap buka baharu kalau gk d baharu gk bsa d buka trus usah hanya proses proses saja kalau gak niat buka loker lebih baik jangan buka kasi yg harap banyak paham gak ni para recruitmen
0,1,cctv selalu dalam baik silah coba lagi nanti
0,1,tidak bisa verifikasi akun link tidak valid padahal belum expired tolong baik
0,1,aplikasi kntl pecat aja semua programmernya banyak bug sama bagi daftar kartu kuning error path tidak temu bagi upload berkas foto
1,0,lumayan baik aplikasi bagus tuk warga jambi
1,1,bagus sih app nya semua jadi mudah cuma kurang nya kalo aju dokumen harus subuh proses nya baru lancar kalo dari pagi sampe malem gagal terus aju nya loading nya macet terus ngga jalan
0,1,tiap hari semua pol tutup kecuali gigi sama aja boong ga bisa daftar
0,1,untuk yg fontnya tidak lihat bagi daftar bisa cip font di hpnya nanti otomatis ukur huruf di dalam aplikasi akan sesuai
1,0,sangat bantu sekali semua layan di perintah kota yogyakarta tugas ramah dan bantu
0,1,lohaaa min jaki kok telah d update tidak bisa akses k peduli lindung ya utama tidak bisa scan qr jika ingin akses masuk k suatu tempat scan qr yg di atas hanya bisa terang cek in kode tidak ada gambar scan hasil tolong d baik ya mimin yg baik hati terimakasih
0,1,oii buat kalian yg gk bisa make aplikasi ini kalian harus ke rw rebna raya lokasi di situ klo mau wifian gratis
0,1,ini knapa yaa saya cek jadwal vaksin nik sama nama ga sesuai ktp daftar yaa belum sudah mnjadwalkan vaksin booster cuma pas ctak kartu kendali nama nya malah cantum nomor telpon bukan nama orang pas coba masukin ulang nik dan nama malah nik dan nama tidak sesuai ktp daftar ini gmn tolong dong duah puluh kali coba masukin sesuai ktp selalu d bilang tidak sesuai dengan ktp daftar padahal pas jadwal vaksin booster bisa telah daftar malah ga bisa anehhh
0,1,sayang hanya untuk kota moga depan bisa jangkau wilayah2 yg masuk dalam diy trimksih
1,1,sangat bantu tetapi kode odp tidak bisa di isi padahal untuk mengupload data harus di isi mohon baik lagi
0,1,bintang 1 dulu udah tahun lebih gada pasti dari apk ini buat bantu anggur
1,0,lumayan drpda lumanyun
0,1,parah yaa saya mau daftar vaksin dosis pertama masa iya kuota penuh terus padahal saya sudah liat data kuota yang sedia wilayah mana dan coba wilayah yang masih dapat kuota tapi malah terang ketika saya ingin daftar bilang kuota penuh juga ini gimana bisa gak konsisten sekali aplikasi
0,1,percuma sy instal dsw tdk ringan sy ttp susah daftar online nya paksa sy ttp ngantri2 jg tdk efisien
1,1,terima kasih aplikasi sangat bantu sekali mudah daftar puskesmas sangat guna tapi sekarang kok gak bisa daftar pakai akun gagal terus tolong baik
0,1,gimana ya ko apk nya gabisa di pakai selalu ada tulis henti terus tolong baik
1,1,mau nanya admin bagaimana cara masuk nik kk karena waktu registrasi yang di minta hanya m nik ktp jadi pada saat mau buka akte cek nik kk ktp gak bisa karena nik kk tifak daftar mohon bantu terima kasih moga aplikasi ini tambah maju dan kembang
0,1,birokrasi aja masalah ngga ada jalan keluar masalah sudah atas ndasmu sempal
1,0,terima kasih banyak untuk disdukcapil aplikasi ini sangat bantu sekali proses gampang cepat dan mudah sehingga kita tidak perlu lagi repot untuk datang ke kantor disdukcapil cara langsung dulu saya buat akte lahir bulan baru selesai sekarang dengan ada aplikasi ini lima hari sudah selesai sekali lagi teima kasih
1,0,respon cepat tugas yang lapang ramah tanpa ribet tanpa pungli maju terus surabaya ku sukses dan sehat selalu seluruh dinas kait dan sukses sehat selalu cak eri
0,1,app apa ini susah bgt mau login harus aktivasi ulang2 gabisa2
0,1,aplikasi gak guna berkali2 mau daftar online puskes utk perikaa hamil tapi tanggal gak bisa d klik sangat tidak bantu
0,1,mau daftar aja susah tapi dapat himbauan urus rw untuk guna aplikasi ini apa yang mau di gunain kalo daftar aja susah
1,0,aplikasi yang mudah baik data dan lain lain sukses selalu
0,1,hp saya di install ulang sapawarga nya ke hapus bagaimana cara dapat password nya saya wa ngga ada yg jawab mohon arah
0,1,aplikasi terlalu bagus sampe susah di guna nya daftar nik alpukat gagal mulu hadeh gaptek nih
0,1,susah di buka
1,1,aplikasi sangat mudah di paham tapi apakah semua perangkat daerah level paling bawah bisa paham dan bagai mana antisipasi pungli yang masih ada untuk virtual ktp-e nya belum tera foto yg sesuai dengan e-ktp nya dan virtual ktp-e ini bisa kita guna untuk perlu di intansi lain
0,1,lagi coba apply daftar on-line buat obat ke puskesmas tapi aplikasi nya malah keluar keluar sendiri gitu udah gitu sama aja mau daftar online engga tetep ikut antri daftar offline di puskesmas nya terus guna aplikasi ini buat daftar online apaahhh
1,0,sangat bantu utama buat adu keluh saya rasa sendiri manfaat responnya
1,1,adu saya sini selalu direspon cepat oleh pihak kait tapi hanya direspon saja belum di tindak lanjut cukup lega hati responnya bikin ati ayem sopan
1,1,sangat bantu berkat aplikasi ini masyarakat jambi jadi bisa lihat kondisi lalu lintas cara real-time pihak polisi juga bantu karena tiap jadi rusuh atau celaka dapat langsung lihat lalu aplikasi ini saran dari guna aplikasi ini untuk pihak kembang yaitu depan aplikasi ini mampu baca qr dari transportasi yang guna seperti sikoja dan dapat tahu estimasi jalan yang tuju serta saya harap aplikasi ini dapat stabil
1,0,baik
0,1,coba depok fokus baik tata kota dulu lebarin jalan dan atas banjir jgn buang anggar bikin aplikasi ga guna kayak begini
0,1,padahal registrasi udh sesuai dengan atur tapi proses verifikasi nya lama banget udh 5 hari masih belum di verifikasi padahal udh chat whatsapp sama email tapi gk di respon
1,0,layan baik dan cepat
0,1,kenapa y tiap udh foto balik mulu ke beranda cape ngetiknya udh brp x g kelar 2 padahal pke wifi
1,0,lagi henti di lampu merah ada baliho besar yang isi nya segera download aplikasi jauh ini sangat bantu dan juga lengkap info tentang kota depok
1,0,sangat informatif
1,1,sangat bantu tapi video kadang tidak bisa buka
0,1,knp ya dari kemarin download kaki ga bisa trs hanya muter2 trs pdahal jaring ga masalah kuota jg ada tolong di bantu dong apa udah ga bisa daftar vaksin di kaki
0,1,aplikasi blank tidak bisa guna sama sekali
1,1,kecewa aplikasi nya suka eror sering timeout keluar sendiri gilir di install ulang bisa tp trus kaya gtu lagi jelek app nya tp ttp terima kasih buat yg udh bikin app ini
1,0,sangat bantu respon cepat masalah jadi cepat atas
0,1,aplikasi jaki tidak guna mau daftar vaksin tidak bisa terus kalo sdh tidak bisa daftar vaksin lalu jaki lebih baik hapus aplikasi jaki bukan bantu aplikasi ini malah sulit guna yg mau daftar vaksinasi covid-19
1,0,sangat bantu gak usah ribet harus ke sana kemari lagi cukup download aplikasi salam hatur nuhun moga tambah bagus lagi aplikasi
0,1,knp ya ga bisa buka aplikasi tiap klik lgsg tutup lg dengan tulis jadi salah ulang lg beberapa saat lg
0,1,uptd puskesmas cipayung layan pagi hari ada pol ispa tapi di daftar onlie dsw tidak ada sehingga saya harus tukar antri dari pol umum ke pol ispa dengan nomor antri yang jauh tolong baik update sesuai kondisi lapang
1,0,mudah dlm obat
1,0,warga ldii dukung kota cimahi yang kreatif dan inovatif
0,1,masih perlu banyak baik gilir hari buat job fait malah g bsa buka mau ganti sandi aja email kata udah kirim tp pas buka kotak masuk ga ada email pas mau vertifikasi email jg sama kata sudah kirim ke email nyata engga ada
0,1,kalau bisa cctv nya tambah dan bisa putar waktu yang belum nya agar bisa lihat jadi belum
0,1,aplikasi masih mentah dan banyak bug nya
1,0,sangat bantu untuk megembangkan tahu dan wawas untuk batu warga
0,1,tolong dong ditambahin cctv nya utama di simpang tanjung lumut
1,0,aplikasi plat merah daerah yang sangat sangat bantu masyarakat tidak ribet cepat dan kurang oknum pegawai perintah untuk pungli terima kasih pemkot bandung
0,1,kenapa tidak bisa masuk trus udah puluh kali masuk sipade eror trus kata nya dr disdukcapil suruh lewat aplikasi tp eror aplikasi gimana sih niat mudah atau sulit urus org itu bukan hnya ke disdukcapil mhon di baik layan
1,0,aplikasi sikoja bagus sekali bisa bantu untuk lihat cctv
0,1,menu lapor saya tidak fungsi tidak ada data muncul
0,1,cctv tidak dapat di akses tolong segera di baik
1,1,mantap serba cepat namun lebih bagus apabila ada layan chat support untuk mudah dalam konsultasi
1,0,aplikasi sangat bantu dan mudah masyarakat supaya bisa milik surut2 penting
1,0,turut saya app nya oke lapor mati listrik blm lama sekitar 15 menit langsung nyala ya walaupun memang masih ada yg perlu d baik jgn jdikan app ini alat konprontasi politik lah
0,1,terlalu banyak aplikasi dan semua itu tidak fungsi aktif
0,1,cek status kk nyata belum juga di update padahal sudah pisah kk juga di sinkronisasi data kali kali masih belum di update juga
1,0,moga kota jambi makin maju mantap
0,1,waktu daftar nik sudah daftar ketika login reset pasword nik email tidak cocok lier
0,1,nggak ada gejala sakit nggak pernah kontak dng pdp odp suhu normal 36 2 baru dua hari kemarin rapid test non reaktif kok hasil tidak aman apa yang jadi dasar nilai skor ratingnya langsung jeblog tuh pada komplain dasar nilai skor nggak pernah direspond
1,0,pelayananya ramah cepat tempat nyaman bgt anak2 friendly bisa ngprint dokumen sndri ada layan wifi gratis mantep
1,0,sangat mudah muas
1,0,sudah mantap dan buka informasi moga makin baik lagi kota jambi maju
0,1,dishub layan angkut umum blm ada di aplikasi ini
0,1,mohon maaf jika sdh di uodate muncul versi 076 namun tidak keluar presensi sidik jari nya bagaimana solusi nya ya
1,0,selamat untuk aplikasi kota jogja makin maju dan depan dalam layan
0,1,apk aneh bkn bantu mlh nyusahin isi no rujuk udah bnr tp ada ket tidak daftar ga daftar apa jls2 bln lalu ga mslh ini knp begini coba baik dl deh
