ulasan,apresiasi,kritik
  jelas ragu hampir semua isi data benar indikasi gejala covid hasil hampir semua 38 kenan beraktifitas luar kalau   isi data benar hasil suruh tes rumah sakit dokter acu coba  ,0,1
  sih daftar akun menu   muter doang lahh baik bug semua gantung banyak kerja luar kota milik akun jaki  kecewa  ,0,1
  aduhhh susah   daftat login buang kouta kalau kaya giniii padahal ngunjungin taman login susah bangeettt -   -   ,0,1
  hampir semua komentar clm skor 38 padahal kondisi sehat nyata pas coba sendiri hasil padahal kondisi bukan odp pdp pernah pergi pernah kontak pasien baik   manfaat  ,0,1
  minta sumber informasi keluh kait fasilitas infrastruktur jakarta paruh layan muncul notifikasi request rejected  ,1,1
  percuma bagus masalah lapang pernah realisasi  ,0,1
  kerja jaki  bagus cepat lapor hari hari kerja mudah masalah jakarta cepat mudah  ,1,0
  update hasil test simpan otomatis waktu didownload waktu tadi hendak download jaring server hp masalah kemudian closed pas masuk clm hasil testnya padahal tadi simpan pas ikut test malah bisa suruh tunggu tanggal 23  ,0,1
  bagus tindak lapor jelek berkali2 lapor parkir liar bahu jalan follow up cm poto sisi jalan parkir biar lihat bersih sedang sisi mas parkir liar upload foto ganti video biar lbh real hasil follow up  ,1,1
  betul banyak info bagus tiap daftar vaksin kuota selalu penuh tiap jam cobain  tetap  kuota penuh tega kasih bintang satu jadi bintang 4 harap ubah kembang teri terima kasih  banyak  ,1,1
  erti jadi bagai indeks parameter isi data benar jujur sekali tunjuk dampak covid alami gejala covid bahkan tidak pernah kontak odp pdp pergi nilai bagai  risiko  rendah angka 38 nyata tes pcr bukankah  risiko  rendah arti dapat sikm   jelas  ,0,1
  si minta2 verifikasi ktp muka makin kesini makin heran minta2 indentitas  ,0,1
  vaksin 3 jadi salah   log in padahal nik ktp verifikasi cek status vaksin buka brp x uninstall dulu   install ttp buka aneh bukan bantu malah sulit  ,0,1
  vaksin situs peduli lindung   update situs jaki malah update tanya via java solusi lapor kendala tombol link sedia tombol link sebut sekali dengan status forbidden telusur lapor fitur bantu email jaki respon baik uninstall  ,0,1
  tolongin sya masa tadi pagi gw masuk   daftar vaksin 2 ngikutin langkah sesuai perintah tiba balik menu login login coba malah nama sesuai nik bosen nyoba solusi bales  ,0,1
  tingkat akurasi gps masa 2 kali lapor pointer gps jadi jalan padahal gps aktif bikin jadi kesalahpahaman kalau begini cerita lama lama 1 tambah fitur   hapus edit lapor salah input biar jadi salah paham apabila salah input  ,0,1
  android versi 7 1 isi form pilih domisili hubung unduh milik bangun unduh e - sppt pbb mohon tinjau milik pemda kompatibel android versi 6 7 8 9 tinggi  ,0,1
  teri terima kasih  kasih jaki keluarga  bantu layan cari vaksin  mudah akurat susun rapih rencana good design and best target for user  terima kasih n jaki  ,1,0
  tanggulang lapor parkir jalan umum kampung kurang tegas himbauan cara tilang derek sekali jadi parkir jalan sebut kemudian mohon tambah 1 beberapa slot foto lapor  jangan  1 slot foto jadi beberapa masalah 1 area pakai vidio 2 tanggulang cek acc lapor  jangan  tutup bisa jadi tanggulang selesai 100 mohon feedback baik  ,0,1
  sinkronisasi data bner dong masa liat data kuota tempat vaksinasi sedia waktu daftar tempat vaksinasi sebut malah data temu banyak perlu baik data banyak sinkronisasi data benar asal ada masalah website  ,0,1
  kasih bintang satu kayak rugi betul   sih mudah sulit masa daftar vaksinasi sulit minta ampun coba jakarta utara terang semua penuh coba jakarta timur semua penuh dong sesuai ekspetasi jujur nyesal download  ,0,1
   manfaat untung semua   daftar skrg jadwal 2 hr karna otomatis putus sendiri sampa hari h kalah urut pakai   dngn dluan bsa daftar tempat hari luar biasaaaa tanya jadi   hah  ,0,1
  download jaki perlu vaksinasi vaksin pertama jalan lancar vaksin kira tinggal datang lokasi vaksinasi sedia nyata daftar ulang masalah daftar ulang satu lurah se - jakarta milik kuota vaksinasi pilih semua lurah semua kuota penuh padahal lokasi mohon segera ditindaklanjuti terima kasih  ,0,1
  gejala sakit pernah kontak dng pdp odp suhu normal 36 2 baru hari kemarin rapid test non reaktif kok hasil aman jadi dasar nilai skor ratingnya langsung jeblog tuh komplain dasar nilai skor pernah direspond  ,0,1
  daftar vaksin sini simple pas lokasi vaksin salah input nomer telepon jadi sekarang sertifikat pedulilindung masuk data   vaksin certifikat bagaimana minta sertifikat  ,1,1
  jelas suhu normal pdhal sehat semua kontak pernah keluar2 nyata aman jelas jadi tuju mudah malah tahan  orang  keluar masuk jakarta  ,0,1
  lohaaa jaki kok update akses peduli lindung utama scan qr akses masuk suatu tempat scan qr terang cek in kode gambar scan hasil baik mimin baik hati teri terima kasih   ,0,1
    bagus daftar vaksin booster daftar vaksin utama jaki krn sesuai   jadwal free cukup isi profil kalau validitas data tunggu 2 hari cari menu vaksinasi isi nik nama alamat no tlp pilih puskes rs pilih tgl tanggal selesai lanjut isi pre - screening selesai cetak hasil td vaksin dos 3 10 menit selesai langsung integrasi peduli lindung  ,1,0
  payah payah payaaahhhh daftar login input nik no hp keluar sertifikat vaksin lihat menu masa input data hadehh  ,0,1
  server kurang bagus ngelag kurang responsif lama loading awal cepat padahal buka lancar kuota banyak  ,0,1
  pas liat komentar hasil 3x xx pas nyoba sendiri eh skor   28 50 padahal pergi jauh pernah ketemu pasien bahkan pernah kok skor   segitu hadehh bukan bikin mudah malah bikin susah kasi keburu butuh malah hasil kaya gin  ,0,1
  payahh lo bikin terang kuota vaksinasi selalu penuh padahal dashboard kuota vaksin second dose sedia telp 119 bantu   mb sasha info kata kembang jadi kuota memang penuh delay lihat jaki ah payah lahkalauaplikasi perintah    ,0,1
  daftar   tanggal 15 juli bsok barusan cek malah daftar ulang lah sedia baik sistem jangan rupa jadi terima kasih  ,0,1
   bantu banyak fitur informasi manfaat sekali lapor ganggu lingkung via direspon tangan cepat terima kasih  ,1,0
  nyoba     nyoba daftar vaksin 2 pas login daftar la kok kata nama masuk sesuai nik daftar la  maksud orang sesuai ibu kali liat takut angka salah tuh    maksud  ,0,1
   mantap    lapor layan masyarakat cepat tanggap tugas trimaksih  manfaat depan   lengkap sempurnakalauada chatnya antar lurah  ,1,1
   bagus mudah betul lumayan butuh fitur kaya jakpangan nice moga tambah improve  ,1,0
  hai jaki lihat jaki fitur cek pajak kendara motor pkb bagus benar kok bebas akses data pkb siapa sih asal tahu nopol begini situs samsat - pkb2 jakarta go id kalau cek input nik jaki pakai nik siapa lihat info pkb apa  ,1,0
   bantu jawab keluh kalau gitu daftar vaksin cek data jaki update sekali padahal peduli lindung data terupdate sih dong kalau gitu install  ,0,1
  kok tambah ngawur daftar vaksin booster lokasi faskes pilih pas masukin tgl malah suruh pilih faskes tgl malah muncul aduh daftar vaksin booster sulit mesti pake jaki daftar download malah daftar  ,0,1
  update cek pajak kendara motor roda catat fix masalah jaring internet handphone teri terima kasih  tim developer   manfaat  ,1,1
  daftar kerja syarat scan test clm download dan keburu hilang cara biar lihat data  butuh sekali stelah laku ulang mnunggu lama jdi gmna cara lihat data awal terima kasih  ,0,1
   baik responya cepat tahan baik tingkat kurang perlu tingkat terima kasih pemprov dki      manfaat  ,0,1
  download untukdaftar vaksin pertama sini selang daftar dapet notifikasi me restart hp lakuin kali 5 kali   konfirmasi kena status jadwal vaksin notifikasi restart muncul aneh  ,0,1
  jelas hasil masalah kok hasil 38 5 aman padahal uda tes hasil rapid negatif isi form ulang 7 hari kalau hasil aman nunggu 7 hari dong baik sistem sehat rugi sekali  ,0,1
  clm jelas indikator    indikator giat masyarakat dasar sekali   gaya2an clm parameter yg pergi kemana2 aman  kacau  betul   cari muka bikin berita sekali lockdown semua biaya hidup tanggung pemprov  ,0,1
  asli lengkap dapetin info paling ter - update sekaligus ibukota jakarta bisa bantu report perihal masalah sekira ganggu nyaman langsung proses lanjut team kait  ,1,0
  mohon solusi isi tes combo box klik selesai testnya padahal android ku 5 1 1 internet ku stabil   pake mohon solusi  ,0,1
  alami ganggu coba kali daftar esppt pbb jaki ikut langkah isi datadengan baikdan benar selalu keluar maaf jadi salah sila coba beberapa data temu nik unduh jadi salah bagaimana solusi   2 hari coba kali masuk data benar selalu masalah mohon bantu segera  ,0,1
  hasil aman padahal   isi sesuai jujur riwayat pergi lama 14 gejala covid 19 score 38 aman mohon baik  kacau   ,0,1
  kaka aku bingung sma sesuai padahal aku coba ulang kali   isi benar sya pencet sesuai tpi hasil buang buang pulsa donk ka baik   lancar data sekolah  ,0,1
  sulit minta isi survey puas masyarakat log in sulit sekali server sibuk sekali hasil log in kata survey sedia bagaimana beri puas masyarakat kalau survey   sulit mohon kesiapsoftware kuat dulu dilaunch masyarakat  ,0,1
  tidak tombol unduh file hasil pre screening baik solusi syarat vaksin print pre screening  ,0,1
  alhamdulillah vaksin dosis 1   hasil sertifikat vaksin proses cepat daftar lewat jaki mudah proses cepat penting nik ktp nomor telepon benar proses cepat apabila keluh cepat tanggap terima kasih jaki pokok tahan kualitas jaki is the best  ,1,0
    coba hasil 15 5 kontak orang tempat umum  maksud  tanya test jadi kan 38 kan jawab jujur pernah kontak pergi jadi kalau 38 kita pernah pergi tempat umum  risiko  tular tular  ,1,0
  minta verifikasi 3 kali gagal padahal nomor ktp nama foto sesuai verifikasi sekali 2x24 jam 3 hari coba tiap daftar langsung no ktp nama lengkap selalu capcha not valid  eror   ,0,1
  hasil tes mohon simpankalauhasil tes sempat screenshoot ikutin tes ulang hari tunggu 14 hari kedap sempat sulit kirim lapor seko pas screnshot hasil gagal mohon respon terima kasih  ,0,1
    orang kesal tes clm hasil nge hang lama nutup sendiri keluar qr mao ulang tunggu minggu padahal mao berangkat pesawat jangan ngerepotin deh  ,0,1
  download website pajakonline download sppt pbb lambat verifikasi akhir arah call center download jaki alhamdulillah langsung hasil ribet lama bahkan sampai 2 menit   log in isi data pbb abis tinggal download   cek biaya pajak kendara   lapor2 informasi kait jakarta terima kasih sedia  maju jakarta  ,1,0
  masalah jakarta andal meski sedikit kurang beberapa fitur but overall this is a very useful keep up the good work  ,1,0
  ngisi data tgl 6terus loading tengah jam tiba tiba menu utama malah ngisi data tanggal 13 sedang pesawat terbang tanggal 9 mohon info jakarta apa jaki  ,0,1
  kok pake   daftar vaksinasi terang maaf tanggal sedia silah ganti faskes lokasi ganti semua tempat   daftar vaksinasi mohon baik bug  ,0,1
  benerin dong daftar vaksin pilih faskes tgl jam coba langsung tempat faskes suruh daftar lewat jaki  tetap  muter - muter jelas nih malah jadi bingung  ,0,1
  kmarin isi data padahal suhu badan 36 5 ngk pernah kontak langsung odp pasien bener positif covid situ tulis aman sebenernya batas suhu badan berapa sih sedang tiap sk   perintah tera 37 3 u suhu badan pas daftar malah sistem masalah nh urgent pergi orng tua sakit kaya sulit clm jadi susah pergi  ,0,1
  daftar vaksin lewat jaki dapet tanggal waktu tempat pas dateng lokasi vaksin tunjuk kartu vaksin dri jaki malah tolak alesan nomor daftar habis   fungsi daftar lwt jaki kalau pas dateng lokasi punya nomor daftar sendiri  ,0,1
  lurah milik survey laku tetapi kok survey   hp pernah cek masalah surveynya hp tampil hp honor 10 lite segera tindak lanjut  ,0,1
  benar   tuju baik sayang isi sesuai kondisi alami suhu tubuh normal 36 pernah kontak pasien odp pdp keluh sehat hasil aman skor 38 5 kan aneh untuk kumpul data diri  sayang akan jadi sampah benar benar baik utama hasil isi sesuai alami  ,1,1
  clm aneh parameter  kacau  dasar coba masa hasil survei 38 5 arti laku jalan wilayah jakarta padahal lama 5 bulan terkhir pernah laku jalan daerah zona merah kerja rumah interaksi pdp odp pernah banyak aktivitas rumah dasar no ktp anggap aman ngapain ribet ribet isi survei kalau hasil semua aman  ,0,1
  kok ngk klik sih jenis kelamin dong for developer benerin dong ui  bgs jaring gue stabil coba kali ngk tolong baik cepat  ,1,1
  tanggal 18 vaksin jaki tera justru vaksin jadwal noted sedang proses data pedulilindungi tanggal 20   terupdate via sms hehe moga makin baik makin manfaat depan ammiinn  ,1,1
  hai admin kok jaki sklm yaa jaksurvei minta login kolom login sinkron google padahal sebelum2nya kendala  ,0,1
  tingkat mudah   tampil ui   bagus tampil layar  ,1,1
  kali coba mendownload sppt pbb 2021 selalu  eror  padahal semua daftar isi dinput benar masuk chat room jelas kendala ada respon heloooo  ,0,1
  notifikasi sedia fitur tanda semua titik merah ikon notifikasi  ganggu baik pemberitahuan sebar halaman beranda bukan notifikasi  ,0,1
  dear all kondisi kali jangan jadi burik gajelas gaguna daftar faksin gagal salah   daftar download pdf presceaning gabisa jum at 13 agustus 2021  ,0,1
  jaki jln makin bersih taman rapi atur fasilitas transfortasi jaklingko bus way sarana main olah raga cukup banyak layan administrasi dukcapil satu pintu makin mudah cepat  ,1,0
  divaksin1 sertifikat kata tugas kirim nomor hp daftar kirim buka jaki daftar ulang status vaksin sidah data hubung bilamana vaksin jaki data sebut jadi ganda perintah   takjelas akhir data jual belikan mohon tinjau saran terima kasih  ,0,1
  update donk daftar vaksinasi jaki banyak orang benar gaptek soal handphone utama orang tua daftarin saudara vaksinasi pertama lewat jaki ulasana kuota penuh klik lihat kuota sisa kuota banyak daftar susah kalau daftar vaksin lewat jaki update donk  ,0,1
  tiap kali cek jadwal vaksinasi 2 selalu  eror  uda login ulang kaya gitu via web  eror  pilih daftar vaksinasi klik  ,0,1
  maaf kok yaa scan barcode jaki baru alas data sesuai padahal pedulilindungi daftar vaskin lewat jaki lancar2 pake data pas scan barcode malah alas data sesuai mohon lengkap data masuk lokasi mohon bantu teri terima kasih   ,0,1
  turut oke lapor mati listrik   lama 15 menit langsung nyala walaupun memang perlu baik  jangan  jdikan alat konprontasi politik lah  ,1,0
  mohon bantu daftar vaksin orang tua lokasi tuju tiba2 hilang padahal waktu daftar diri sendiri lokasi tuju vaksin sih cek sisa kuota lokasi tuju vaksin sedia pas cari pilih lokasi daftar tak sedia coba  ,0,1
  scan barcode kolaborasi pedulilindungi versi baru perangkat xiaomi reddmi 4 prime padahal scan langsung kolaborasi peduli lindung tindak lanjut kalau uninstall kalau bisa pakai  ,0,1
  jadi eror bknnya mudah malah sulit hadeh tingkat bagai  susah teri terima kasih   ,0,1
  serius dong   utama system lapor tangan masa lapor ulang masalah lokasi tangan hasil koreksi apa2 fasilitas escalete kalau puas nilai bintang efek biaya uang rakyat lho  ,0,1
  lokasi buka susah coba beberapa kali tiap hari  tetap  sulit pilih lokasi sulit kalau liat kuota vaksin banyak pake 1 semu pake peduli lindung jaki bpjs terlalu banyak pake kalau hpnya dukung kalau kan kasi teri terima kasih  repot warga indonesia  ,0,1
  tetap ambil nomer antri untung dateng awal jadi dapet nomer kalau telat nomer antri habis tkp cek lokasi vaksin sinkron tkp kuota jaki ada kuota bagai contoh hari jumat 13 08 21 vaksin 1000 kuota grand cakung selebaran beri masyarakat sejak tgl 10 alfa indomart jaki tera sejak tgl 10 aneh  ,0,1
  kendala isi clm tahap identitas diri kolom ter expand jenis kelamin country hp   coba ulang kali tetap ada ubah mohon solusi baik developer  ,0,1
  kuota vaksinasi banyak slot pas daftar kosong smua kaga update kuota salah pas daftar haduhh mabok bukan ny bantu malah sulit kalau ni bantu coba bantu daftar vaksin cara email bukan email  ,0,1
  kentang coba daftar vaksin bilang nik sesuai padahal bener masukin data gilir data masuk tgl vaksin buka gilir klik tgl suruh masukin data ulang asli kentang berkali2 masukin data  ,0,1
  daftar vaksin kali kali jadwal pernah keluar selalu proses jadwal tgl tetap proses jadwal kalau lewat suruh daftar hasil  ,0,1
  install jaki   jakclm   salah satu syarat uji coba ptm test isi semua tanya tinggal nunggu loading hasil tiba server maintenance pas coba ulang kata test tanggal 5 september nyari riwayat test tadi ketemu baik terima kasih  ,0,1
  sisi baik mudah masyarakat adu baik fasilitas layan tempat bahkan orang sekalipun misal orang jadi objek adu nyata lapor adu benar cari identitas lapor bisa  ,1,0
  daftar e - sppt pbb selalu muncul terang data nik temu ada bantu coba via web jaki tetap  ,0,1
  server sellau  eror    isi tes verifikasi tiba tjba  eror  ulang awal jadi ulang hingga puluh kali isi kemudia  eror   kecewa  ,0,1
  update masa daftar vaksin situ tulis kouta puluh bahkan ratus bahkan cek web tulis ad kouta kan malah kouta habis kompeten kelola  orang 2 kompeten  kecewa  ,0,1
    yaa cek jadwal vaksin nik nama sesuai ktp daftar yaa   mnjadwalkan vaksin booster pas ctak kartu kendali nama malah cantum nomor telpon bukan nama orang pas coba masukin ulang nik nama malah nik nama sesuai ktp daftar bagaimana dong duah puluh kali coba masukin sesuai ktp selalu bilang sesuai ktp daftar padahal pas jadwal vaksin booster daftar malah anehhh  ,0,1
  survei ganti akun instal ulang dulu nama akun profil nama survei beda masuk akun nama akun survei ubah akun pertama kali login mohon baik update keluar2 sendiri  ,0,1
  lihat hasil tes mandiri isi isi karna download cari2 padahal selesai karna pencet jadi  sempat  download riwayat terima kasih  ,0,1
  bagus  bantu   update jakarta cek info layan lapor masalah respon tangan cukup cepat variasi gantung tingkat masalah  ,1,0
  baru kali paling percaya cepat tanggap salut   pak anis lucu web tetangga jakarta fiturnya kuno masa kasih data excel hahaaa padahal kepala negara kerja sana sekarang hayo kota  ,1,0
    login yaa   atur jadwal dosis padahal masukin nik ktp ubah malah stuck tulis periksa kemaren kemaren apa baik dong admin  ,0,1
  turut ku tuju ber ktp jakarta gmna pilih parameter pernah kontak pernah keluar bukan medis jga segala macemnya lama ber ktp non jkt nyata  risiko  paksa cara halus jkt  ,0,1
  download kok bisa2 bbrp hari tunda melulu padahal semua foto video hapus2in   bgtu tunda padahal memori banyak 33 94gb dong  ,0,1
  website  kok  lelet kayak keong tiap daftar vaksin kuota penuh update dulu jakarta punya qluee   dipake diterusin bagus up - to - date  ,0,1
  dftr vaksin   akun kode otp lamaaaaaa sekali sedang wktu   pasu kode otp   1 menit waktu habis 10 mnit lbh baru masuk kode otp jadi ulang   cb juta kali   ngajak canda   bagus dki  ,0,1
    ngebug  eror  maaf tanggal sedia silah ganti faskes lokasi pas rs puskesmas dekat suruh daftar pake jaki jadi muter2 gin vaksin baik segera  ,0,1
  nga jelas aneh daftar vaksin 2 semua lokasi kuota padahal cek kuota vaksin cari admin fungsi malah robot bingung  ,0,1
  br mengupload krn minta pihak sekolah anak pd tahu salah satu program jakclm coba  kecewa krn pd klik   jenis kelamin alamat rt rw semua klik bagaimana kesiap mohon baik  ,0,1
  lapor tangapa  direspon tetap butuh proses harap sabar proses hapus fitur tag lokasi klau upload foto padahal banyak upload foto bukti foto yng liat bukti  terima kasih   ,1,1
  gausah bnyak gaya bikin apl lah ikan fasilitas layan lapang bner apl bnyak bug loding kelar2 pdhal sinyal 4g pke wifi ttep msih jalan apl y gin lah suruh masukin data personal nik nama ttl segala nnti bocor jebol retas main2 data personal duduk sampah  ,0,1
  jaki lumayan sedikit ringan kerja nambah wawas terkadang sedikit ribet inti bantu lah  ,1,1
  aneh buang2 duit ngapain bikin jakarta kan uda smartcity qlue ngapain coba bikin sayang anggar   bikin bikin tidak murah broo manfaat kan jangan ego doang pikir  ,0,1
  masa pernah kontak langsung dengn positif covid gejala sakit skor 38 nyata aman baik jdi sulit kerja  ,0,1
  ni fungsi kalau daftar sini dapet jadwal vaksin sesuai waktu dateng waktu nyata kuota habis datang lokasi ini dong ni  ,0,1
   bantu kali ikut test hasil pernah lolos taek jakarta perlu tinggal luar jakarta lolos woy anis cek bener  ,0,1
  hp   andoid 5 1 sinyal stabil clm isi jenis kelamain kewarganegaraan jenis identitas pilih mohon diperbaikinlagi sistem  ,0,1
  turun bintang jadi tiga fiturnya banyak kurang utama jakclm   ikut tes himbauan sekolah lupa mendownload hasil tes ss sengaja keluar sebut dan mendownload hasil tes temu hasil tes alhasil tunggu minggu jadi saran baik fitur lihat hasil tes isi  ,0,1
  1 bintang jaki kagak sinkron peduli lindung data vaksin beda tanggal bikin ribet   pedulilindungi cacad tambah sinkron laen jadi payah  ,0,1
  isi jujur gejala kontak pdp odp rapidtest hasil non - reaktif aneh mending sikm deh  ,0,1
  kirim kode verifikasi email masuk2 ini email perintah selalu ampas kerja orang bawa sih baik lah  ,0,1
  semua lurah daerah jakarta selatan kuota penuh semua baik system instal solusi kecewa  ,0,1
  isi clm sempat simpan malah keluar isi malah blg minggu baru isi sdgkan brngkt besok solusi gmana  ,0,1
  daftar sinovac malah kasih astra kemudian daftar online daftar ulang antrianya sesuai nomor ambur adul bukan mudah sulit  ,0,1
    isi data isi jenis kelamin alami kendala isi etik ulang bahkan daftar keakunt jaki mohon bantu teri terima kasih   ,0,1
  jelas sekali parameter nilai sehat pernah pergi kontak suspek gejala sehat hasil nilai 38 37 bawah terang baik hmmm  ,0,1
    jaki   jadi sistem bukan robot yah tiap perika data wajib cek bukan robot kalau sekali 2 kali langsung sukses gpp kali kadang gagal kadang mohon jelas   jaki jadi jadi susah kan jadi kalau orang sedang buru  ,0,1
  respon lapor by email  sangaat  lambat daftar vaksin dpt2 jadwal tulis 1x24 jam suruh nunggu keluar jadwal nyata 2x24 jam muncul bikin lapor by email 3 kali keluar jadwal online mudah bukan sulit kecewa vaksin gratis ribet   jadwal  ,0,1
  makin lama makin susah masuk ketik nama nomor nik selalu salah server bingung jadi bagaimana vaksin 2kalaugin sedang wajib print screaning  ,0,1
  register via bukti barcode pre - screening tetap lokasi tetap isi form register isi form screening jadwal jam 10  -  11 tunggu jam 1 siang tanda bakal dpt gilir akhir putus pulang next info kalau vaksinasi on site jadi siap datang subuh nginap sekali gbk download krn vaksinasi kirain nyata  ,0,1
   bantu tahu informasi penting lapor segala macam masalah langgar lingkung cara cepat praktis aku baru ecek pbb terima kasih maju kota bahagia warga sukses selalu  ,1,0
  parah yaa daftar vaksin dosis pertama masa iya kuota penuh padahal   liat data kuota sedia wilayah coba wilayah kuota malah terang daftar bilang kuota penuh konsisten sekali  ,0,1
  maaf kasih bitang 1 keluarga aga kecewa jadwal vaksin jelas tera apl kartu vaksin tanggal ubah bilang sms cek ada sms pemberitahuan  ,0,1
  data kuota vaksinasi sinkron tiap daftar vaksin selalu kuota penuh sedang daftar vaksin jaki peduli lindung buka on the spot dong benah jadi jawab kirim e - mail adu tetap benah  ,0,1
  maaf baru vaksin 1 daftar jaki kok kak diketeranganya tutup halaman daftar ulang vaksin  ,0,1
    terap seluruh wilayah kontrol sayang bagus praktek antri kerumun warga daftar manual  ,0,1
